公司,分公司名称,年/月,查询量,查询类型
杭标集团,浙江杭州分公司,2019-05	,4000,同盾
杭标集团,云南省分公司,2019-05	,1703,同盾
杭标集团,内蒙古分公司,2019-05	,1441,同盾
杭标集团,湖南省分公司,2019-05	,1043,同盾
杭标集团,湖北省分公司,2019-05	,916,同盾
杭标集团,贵州省分公司,2019-05	,800,同盾
杭标集团,辽宁省分公司,2019-05	,664,同盾
杭标集团,广西省分公司,2019-05	,650,同盾
杭标集团,陕西省分公司,2019-05	,604,同盾
杭标集团,山西省分公司,2019-05	,317,同盾
杭标集团,江苏省分公司,2019-05	,239,同盾
杭标集团,山东省分公司,2019-05	,123,同盾
杭标集团,山西吕梁,2019-05	,91,同盾
杭标集团,开心汽车,2019-05	,49,同盾
杭标集团,临沂分公司,2019-05	,43,同盾
杭标集团,优约金融,2019-05	,42,同盾
大数据商用,深华泰,2019-05	,38,同盾
杭标集团,江苏南京聚车汇众,2019-05	,29,同盾
杭标集团,京东金融,2019-05	,27,同盾
杭标集团,青岛戴云峰地区,2019-05	,23,同盾
杭标集团,河犸,2019-05	,15,同盾
杭标集团,林润万车车城,2019-05	,9,同盾
